OBJECTID,FID_grid_25,grid_area,grid_id,FID_sz_1066,ID,AREA,ZONE,TAZ,SNAME,SECT6,SECT8,SECT12,SECT_T,SECT24,SECT50,CLASS2001,CLASS2010,CLASS2020,CLASS2030,HSSECT,DISTRICT,INCCLASS,EMPINC,INCCLASS05,INCCLASS30,EMPINC05,EMPINC30,TOURE,HKSZ,POP2005,POP2030,EMP2005,EMP2030,SECT29,mianji,CODE,_,_1,New_CODE,new_CODE_A,Area_A,codeA,code1112,code_1112,newTAZcode,TAZ_code,newCODE,code2,newCODE1,newTAZ_No,ORIG_ID,NewArea,Shape_Length,Shape_Area,segArea
21,97,3374647,96,448,8370,2.364538,8370,490,LG403-03,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,2000,245,1800,12706,66,10573,29,13510376.1,22111,163798.2571,0,0,0,13510400,0,0,0,0,0,0,0,221110,6512,448,13468600,0.006913191,2.47546E-06,28232.62891
22,107,3340480.25,106,820,3200,1.627554,3200,112,NS004-01-08,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,0,216,14520,8116,37673,5955,3,4205648.642,13231,96449.06684,1,0,132311,818821,0,0,0,0,0,0,0,170710,2077,820,817039,0.003371658,4.28408E-07,4890.394531
23,107,3340480.25,106,1015,3210,1.650024,3210,113,NS005-02-01,3,4,3,7,16,17,66,55,44,34,4,0,0,0,0,0,0,0,0,217,13200,1334,777,7004,3,2837150.121,13176,95991.74068,1,0,131764,789716,0,0,0,0,0,0,0,131843,2120,1015,787948,0.004244388,1.03936E-06,11864.4502
24,108,3294624.5,107,76,3200,1.627554,3200,112,NS004-01-08,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,0,216,14520,8116,37673,5955,3,4205648.642,13231,96449.06684,1,0,132312,1997640,0,0,0,0,0,0,0,132312,2005,76,1993200,0.039409731,8.96137E-05,1022967.438
25,108,3294624.5,107,156,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132411,2034100,0,0,0,0,0,0,0,132411,2122,156,2029880,0.015470853,1.11293E-05,127053.4844
26,108,3294624.5,107,820,3200,1.627554,3200,112,NS004-01-08,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,0,216,14520,8116,37673,5955,3,4205648.642,13231,96449.06684,1,0,132311,818821,0,0,0,0,0,0,0,170710,2077,820,817039,0.035658287,7.22576E-05,824860.25
27,108,3294624.5,107,821,3200,1.627554,3200,112,NS004-01-08,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,0,216,14520,8116,37673,5955,3,4205648.642,13231,96449.06684,1,0,132313,527938,0,0,0,0,0,0,0,170770,2078,821,526817,0.023232031,3.30452E-05,377246.9688
28,108,3294624.5,107,822,3200,1.627554,3200,112,NS004-01-08,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,0,216,14520,8116,37673,5955,3,4205648.642,13231,96449.06684,1,0,132314,861249,0,0,0,0,0,0,0,130410,2079,822,859396,0.024345753,3.82904E-05,437115.5313
29,108,3294624.5,107,823,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132412,2020770,0,0,0,0,0,0,0,130430,2080,823,2016420,0.005046093,9.53674E-07,10887.09082
30,108,3294624.5,107,1015,3210,1.650024,3210,113,NS005-02-01,3,4,3,7,16,17,66,55,44,34,4,0,0,0,0,0,0,0,0,217,13200,1334,777,7004,3,2837150.121,13176,95991.74068,1,0,131764,789716,0,0,0,0,0,0,0,131843,2120,1015,787948,0.008186977,1.98185E-06,22623.12305
31,109,3305969.25,108,73,3180,2.978327,3180,110,NS003-02-07,3,4,3,5,16,15,67,56,45,34,4,0,0,0,0,0,0,0,3000,215,33110,7079,12354,501,3,7696086.192,13251,98965.1889,0,0,0,7696090,0,0,0,0,0,0,0,132510,2003,73,7678550,0.045800984,0.000104813,1196447.75
32,109,3305969.25,108,76,3200,1.627554,3200,112,NS004-01-08,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,0,216,14520,8116,37673,5955,3,4205648.642,13231,96449.06684,1,0,132312,1997640,0,0,0,0,0,0,0,132312,2005,76,1993200,0.024684493,3.69754E-05,422072.8438
33,109,3305969.25,108,156,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132411,2034100,0,0,0,0,0,0,0,132411,2122,156,2029880,0.012441586,5.73881E-06,65515.05078
34,109,3305969.25,108,822,3200,1.627554,3200,112,NS004-01-08,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,0,216,14520,8116,37673,5955,3,4205648.642,13231,96449.06684,1,0,132314,861249,0,0,0,0,0,0,0,130410,2079,822,859396,0.025521194,3.75547E-05,428704.7813
35,109,3305969.25,108,823,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132412,2020770,0,0,0,0,0,0,0,130430,2080,823,2016420,0.049760727,0.000108639,1240175.25
36,110,3328752.5,109,73,3180,2.978327,3180,110,NS003-02-07,3,4,3,5,16,15,67,56,45,34,4,0,0,0,0,0,0,0,3000,215,33110,7079,12354,501,3,7696086.192,13251,98965.1889,0,0,0,7696090,0,0,0,0,0,0,0,132510,2003,73,7678550,0.058322892,0.000162194,1851448
37,110,3328752.5,109,75,3150,0.416603,3150,107, ,3,4,3,4,16,14,66,45,34,23,4,0,0,0,0,0,0,0,0,214,30250,4070,22699,288,3,1076511.608,13264,101344.0807,0,0,0,4249110,0,0,0,0,0,0,0,132640,2121,75,4239480,0.042185708,0.000104677,1194897.5
38,110,3328752.5,109,164,3120,0.233494,3120,104, ,3,4,3,4,16,14,57,35,24,13,4,0,0,0,0,0,0,0,0,214,25025,658,25374,25,3,603353.207,13263,100479.6772,0,0,0,603353,0,0,0,0,0,0,0,132630,2042,164,601973,0.020725256,2.23946E-05,255621.2031
39,110,3328752.5,109,823,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132412,2020770,0,0,0,0,0,0,0,130430,2080,823,2016420,0.008184298,3.23169E-06,36892.125
40,111,3305780.25,110,75,3150,0.416603,3150,107, ,3,4,3,4,16,14,66,45,34,23,4,0,0,0,0,0,0,0,0,214,30250,4070,22699,288,3,1076511.608,13264,101344.0807,0,0,0,4249110,0,0,0,0,0,0,0,132640,2121,75,4239480,0.060244792,0.00019771,2256809.5
41,111,3305780.25,110,160,3140,0.155525,3140,106, ,3,4,3,4,16,14,47,35,24,13,4,0,0,0,0,0,0,0,0,214,4400,251,153,14,3,401881.3232,13267,102157.028,1,0,132672,287986,0,0,0,0,0,0,0,132672,2038,160,287322,0.019333455,2.16737E-05,247386.2188
42,111,3305780.25,110,163,3130,0.361856,3130,105, ,3,4,3,4,16,14,47,35,24,13,4,0,0,0,0,0,0,0,0,214,69575,7802,21775,301,3,935047.5561,13266,101480.6589,1,0,132661,589733,0,0,0,0,0,0,0,132661,2041,163,588384,0.031101764,5.1802E-05,591282
43,111,3305780.25,110,164,3120,0.233494,3120,104, ,3,4,3,4,16,14,57,35,24,13,4,0,0,0,0,0,0,0,0,214,25025,658,25374,25,3,603353.207,13263,100479.6772,0,0,0,603353,0,0,0,0,0,0,0,132630,2042,164,601973,0.013540097,1.1785E-05,134516.9063
44,111,3305780.25,110,493,3170,1.249431,3170,109,NS002-T1-01,3,4,3,4,16,14,37,25,14,12,4,0,0,0,0,0,0,0,0,214,4400,8784,194,4981,3,1231549.307,13194,102628.8783,1,0,131944,366020,0,0,0,0,0,0,0,130630,2063,493,365172,0.011049901,1.56835E-06,17901.07617
45,111,3305780.25,110,1007,3130,0.361856,3130,105, ,3,4,3,4,16,14,47,35,24,13,4,0,0,0,0,0,0,0,0,214,69575,7802,21775,301,3,935047.5561,13266,101480.6589,1,0,132662,345315,0,0,0,0,0,0,0,139921,2112,1007,344517,0.013998788,7.64243E-06,87232.71875
46,112,3328563.25,111,75,3150,0.416603,3150,107, ,3,4,3,4,16,14,66,45,34,23,4,0,0,0,0,0,0,0,0,214,30250,4070,22699,288,3,1076511.608,13264,101344.0807,0,0,0,4249110,0,0,0,0,0,0,0,132640,2121,75,4239480,0.03622094,7.43568E-05,848756.4375
47,112,3328563.25,111,155,3170,1.249431,3170,109,NS002-T1-01,3,4,3,4,16,14,37,25,14,12,4,0,0,0,0,0,0,0,0,214,4400,8784,194,4981,3,1997014.618,13193,103375.8336,0,0,0,1997010,0,0,0,0,0,0,0,131930,2034,155,1992300,0.03491698,6.303E-05,719426.25
48,112,3328563.25,111,493,3170,1.249431,3170,109,NS002-T1-01,3,4,3,4,16,14,37,25,14,12,4,0,0,0,0,0,0,0,0,214,4400,8784,194,4981,3,1231549.307,13194,102628.8783,1,0,131944,366020,0,0,0,0,0,0,0,130630,2063,493,365172,0.019431558,2.27168E-05,259289.5156
49,142,3291701.5,141,447,8350,13.02175,8350,488,LG403-T1,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,8160,22,107,16,29,24450610.22,22998,160839.9764,0,0,0,24450600,0,0,0,0,0,0,0,229980,6511,447,24374100,0.02156611,1.24946E-05,142500.6719
50,143,3337342,142,447,8350,13.02175,8350,488,LG403-T1,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,8160,22,107,16,29,24450610.22,22998,160839.9764,0,0,0,24450600,0,0,0,0,0,0,0,229980,6511,447,24374100,0.075848637,0.000279328,3185808
51,144,3291548.75,143,447,8350,13.02175,8350,488,LG403-T1,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,8160,22,107,16,29,24450610.22,22998,160839.9764,0,0,0,24450600,0,0,0,0,0,0,0,229980,6511,447,24374100,0.068475468,0.000218565,2492752.5
52,144,3291548.75,143,448,8370,2.364538,8370,490,LG403-03,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,2000,245,1800,12706,66,10573,29,13510376.1,22111,163798.2571,0,0,0,13510400,0,0,0,0,0,0,0,221110,6512,448,13468600,0.042962772,7.32597E-05,835525
53,145,3337188.25,144,447,8350,13.02175,8350,488,LG403-T1,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,8160,22,107,16,29,24450610.22,22998,160839.9764,0,0,0,24450600,0,0,0,0,0,0,0,229980,6511,447,24374100,0.009776267,4.78886E-06,54613.37109
54,145,3337188.25,144,448,8370,2.364538,8370,490,LG403-03,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,2000,245,1800,12706,66,10573,29,13510376.1,22111,163798.2571,0,0,0,13510400,0,0,0,0,0,0,0,221110,6512,448,13468600,0.066949307,0.000290772,3316170.5
55,146,3291398.25,145,445,8360,23.085968,8360,489,LG403-T2,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,7320,0,0,0,29,58589724.9,22997,167401.0137,0,0,0,58589700,0,0,0,0,0,0,0,229970,6509,445,58389900,0.01507778,6.87689E-06,78426.66406
56,146,3291398.25,145,448,8370,2.364538,8370,490,LG403-03,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,2000,245,1800,12706,66,10573,29,13510376.1,22111,163798.2571,0,0,0,13510400,0,0,0,0,0,0,0,221110,6512,448,13468600,0.073955067,0.000220386,2513389.5
57,147,3337036.75,146,445,8360,23.085968,8360,489,LG403-T2,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,7320,0,0,0,29,58589724.9,22997,167401.0137,0,0,0,58589700,0,0,0,0,0,0,0,229970,6509,445,58389900,0.068725961,0.000156047,1779581.375
58,147,3337036.75,146,448,8370,2.364538,8370,490,LG403-03,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,2000,245,1800,12706,66,10573,29,13510376.1,22111,163798.2571,0,0,0,13510400,0,0,0,0,0,0,0,221110,6512,448,13468600,0.055189661,8.41543E-05,959737.375
59,148,3291250,147,445,8360,23.085968,8360,489,LG403-T2,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,7320,0,0,0,29,58589724.9,22997,167401.0137,0,0,0,58589700,0,0,0,0,0,0,0,229970,6509,445,58389900,0.056302406,9.83533E-05,1121616.875
60,149,3302604.75,148,445,8360,23.085968,8360,489,LG403-T2,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,7320,0,0,0,29,58589724.9,22997,167401.0137,0,0,0,58589700,0,0,0,0,0,0,0,229970,6509,445,58389900,0.013769869,1.15167E-05,131328.5625
61,157,3340090.75,156,74,3210,1.650024,3210,113,NS005-02-01,3,4,3,7,16,17,66,55,44,34,4,0,0,0,0,0,0,0,0,217,13200,1334,777,7004,3,2837150.121,13176,95991.74068,1,0,131763,979025,0,0,0,0,0,0,0,131763,2004,74,976789,0.009505505,3.59863E-06,41077.70313
62,157,3340090.75,156,658,3210,1.650024,3210,113,NS005-02-01,3,4,3,7,16,17,66,55,44,34,4,0,0,0,0,0,0,0,0,217,13200,1334,777,7004,3,1426575.996,13175,95678.29684,1,0,131751,957576,0,0,0,0,0,0,0,121520,2064,658,955330,0.008334273,2.64309E-06,30168.13281
63,157,3340090.75,156,1015,3210,1.650024,3210,113,NS005-02-01,3,4,3,7,16,17,66,55,44,34,4,0,0,0,0,0,0,0,0,217,13200,1334,777,7004,3,2837150.121,13176,95991.74068,1,0,131764,789716,0,0,0,0,0,0,0,131843,2120,1015,787948,0.013047435,8.56817E-06,97804.90625
64,158,3294240.5,157,72,3220,1.23529,3220,114,NS005-01-09,3,4,3,7,16,17,66,45,34,23,4,0,0,0,0,0,0,0,0,217,8140,4473,302,17213,3,1889818.764,13174,97458.39322,1,0,131743,768981,0,0,0,0,0,0,0,131743,2002,72,767177,0.018848751,1.44336E-05,164741.2656
65,158,3294240.5,157,74,3210,1.650024,3210,113,NS005-02-01,3,4,3,7,16,17,66,55,44,34,4,0,0,0,0,0,0,0,0,217,13200,1334,777,7004,3,2837150.121,13176,95991.74068,1,0,131763,979025,0,0,0,0,0,0,0,131763,2004,74,976789,0.036147795,8.1053E-05,925162.3125
66,158,3294240.5,157,76,3200,1.627554,3200,112,NS004-01-08,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,0,216,14520,8116,37673,5955,3,4205648.642,13231,96449.06684,1,0,132312,1997640,0,0,0,0,0,0,0,132312,2005,76,1993200,0.029501792,2.76081E-05,315133.5938
67,158,3294240.5,157,658,3210,1.650024,3210,113,NS005-02-01,3,4,3,7,16,17,66,55,44,34,4,0,0,0,0,0,0,0,0,217,13200,1334,777,7004,3,1426575.996,13175,95678.29684,1,0,131751,957576,0,0,0,0,0,0,0,121520,2064,658,955330,0.02031152,1.56648E-05,178797.9063
68,158,3294240.5,157,818,3210,1.650024,3210,113,NS005-02-01,3,4,3,7,16,17,66,55,44,34,4,0,0,0,0,0,0,0,0,217,13200,1334,777,7004,3,1426575.996,13175,95678.29684,1,0,131752,469000,0,0,0,0,0,0,0,150830,2075,818,467896,0.012925521,3.10317E-06,35418.58984
69,158,3294240.5,157,819,3210,1.650024,3210,113,NS005-02-01,3,4,3,7,16,17,66,55,44,34,4,0,0,0,0,0,0,0,0,217,13200,1334,777,7004,3,2837150.121,13176,95991.74068,1,0,131761,608012,0,0,0,0,0,0,0,150512,3072,819,606602,0.029935705,5.30072E-05,605017.75
70,158,3294240.5,157,820,3200,1.627554,3200,112,NS004-01-08,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,0,216,14520,8116,37673,5955,3,4205648.642,13231,96449.06684,1,0,132311,818821,0,0,0,0,0,0,0,170710,2077,820,817039,0.004622337,4.69387E-07,5358.043945
71,158,3294240.5,157,1014,3210,1.650024,3210,113,NS005-02-01,3,4,3,7,16,17,66,55,44,34,4,0,0,0,0,0,0,0,0,217,13200,1334,777,7004,3,2837150.121,13176,95991.74068,1,0,131762,460398,0,0,0,0,0,0,0,132662,2119,1014,459352,0.02352882,3.28608E-05,375087.5938
72,158,3294240.5,157,1015,3210,1.650024,3210,113,NS005-02-01,3,4,3,7,16,17,66,55,44,34,4,0,0,0,0,0,0,0,0,217,13200,1334,777,7004,3,2837150.121,13176,95991.74068,1,0,131764,789716,0,0,0,0,0,0,0,131843,2120,1015,787948,0.033159556,5.76898E-05,658516.625
73,159,3305584,158,72,3220,1.23529,3220,114,NS005-01-09,3,4,3,7,16,17,66,45,34,23,4,0,0,0,0,0,0,0,0,217,8140,4473,302,17213,3,1889818.764,13174,97458.39322,1,0,131743,768981,0,0,0,0,0,0,0,131743,2002,72,767177,0.024218637,2.59653E-05,296358.5
74,159,3305584,158,73,3180,2.978327,3180,110,NS003-02-07,3,4,3,5,16,15,67,56,45,34,4,0,0,0,0,0,0,0,3000,215,33110,7079,12354,501,3,7696086.192,13251,98965.1889,0,0,0,7696090,0,0,0,0,0,0,0,132510,2003,73,7678550,0.052895839,0.000173319,1978263.75
75,159,3305584,158,76,3200,1.627554,3200,112,NS004-01-08,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,0,216,14520,8116,37673,5955,3,4205648.642,13231,96449.06684,1,0,132312,1997640,0,0,0,0,0,0,0,132312,2005,76,1993200,0.019110251,2.08952E-05,238508.9844
76,159,3305584,158,108,3080,0.593882,3080,100,NS001-04-01,3,4,3,3,16,13,37,25,14,12,4,0,0,0,0,0,0,0,0,213,20790,5168,2843,225,3,1534612.492,13183,99484.6197,1,0,131832,1188190,0,0,0,0,0,0,0,131832,2013,108,1185350,0.005517361,1.40443E-06,16029.18652
77,159,3305584,158,845,3080,0.593882,3080,100,NS001-04-01,3,4,3,3,16,13,37,25,14,12,4,0,0,0,0,0,0,0,0,213,20790,5168,2843,225,3,1534612.492,13183,99484.6197,1,0,131831,346419,0,0,0,0,0,0,0,151212,2090,845,345586,0.006236043,1.55158E-06,17708.58398
78,159,3305584,158,1012,3220,1.23529,3220,114,NS005-01-09,3,4,3,7,16,17,66,45,34,23,4,0,0,0,0,0,0,0,0,217,8140,4473,302,17213,3,1889818.764,13174,97458.39322,1,0,131742,220979,0,0,0,0,0,0,0,131942,2117,1012,220455,0.011230157,5.08502E-06,58037.48828
79,159,3305584,158,1013,3220,1.23529,3220,114,NS005-01-09,3,4,3,7,16,17,66,45,34,23,4,0,0,0,0,0,0,0,0,217,8140,4473,302,17213,3,1889818.764,13174,97458.39322,1,0,131744,563431,0,0,0,0,0,0,0,131943,2118,1013,562123,0.030037199,4.90192E-05,559499
80,159,3305584,158,1014,3210,1.650024,3210,113,NS005-02-01,3,4,3,7,16,17,66,55,44,34,4,0,0,0,0,0,0,0,0,217,13200,1334,777,7004,3,2837150.121,13176,95991.74068,1,0,131762,460398,0,0,0,0,0,0,0,132662,2119,1014,459352,0.013796419,8.12858E-06,92782.96094
81,160,3328364.75,159,73,3180,2.978327,3180,110,NS003-02-07,3,4,3,5,16,15,67,56,45,34,4,0,0,0,0,0,0,0,3000,215,33110,7079,12354,501,3,7696086.192,13251,98965.1889,0,0,0,7696090,0,0,0,0,0,0,0,132510,2003,73,7678550,0.059960267,0.00021529,2457262.25
82,160,3328364.75,159,107,3060,0.550735,3060,98,NS001-04-01,3,4,3,3,16,13,55,34,23,12,4,0,0,0,0,0,0,0,0,213,55715,4000,76499,940,3,1423120.039,13184,100673.9528,1,0,131842,400704,0,0,0,0,0,0,0,131842,2012,107,399735,0.009194907,3.65824E-06,41751.23828
83,160,3328364.75,159,108,3080,0.593882,3080,100,NS001-04-01,3,4,3,3,16,13,37,25,14,12,4,0,0,0,0,0,0,0,0,213,20790,5168,2843,225,3,1534612.492,13183,99484.6197,1,0,131832,1188190,0,0,0,0,0,0,0,131832,2013,108,1185350,0.039883663,5.70696E-05,651359.25
84,160,3328364.75,159,164,3120,0.233494,3120,104, ,3,4,3,4,16,14,57,35,24,13,4,0,0,0,0,0,0,0,0,214,25025,658,25374,25,3,603353.207,13263,100479.6772,0,0,0,603353,0,0,0,0,0,0,0,132630,2042,164,601973,0.015229667,1.18334E-05,135066.5625
