OBJECTID,FID_sz_1066,ID,AREA,ZONE,TAZ,SNAME,SECT6,SECT8,SECT12,SECT_T,SECT24,SECT50,CLASS2001,CLASS2010,CLASS2020,CLASS2030,HSSECT,DISTRICT,INCCLASS,EMPINC,INCCLASS05,INCCLASS30,EMPINC05,EMPINC30,TOURE,HKSZ,POP2005,POP2030,EMP2005,EMP2030,SECT29,mianji,CODE,_,_1,New_CODE,new_CODE_A,Area_A,codeA,code1112,code_1112,newTAZcode,TAZ_code,newCODE,code2,newCODE1,newTAZ_No,ORIG_ID,NewArea,FID_GRID_TAZ_50_100,grid_id,Grid_Area,Shape_Length,Shape_Area,segArea
11,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4060,4060,829290.947,0.033488256,7.20099E-05,819824.3125
12,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4061,4061,829280.5724,0.016659092,6.57062E-06,74804.375
13,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4158,4158,829262.6555,0.004243631,1.07725E-06,12264.13281
14,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4159,4159,829252.2149,0.033902326,5.28841E-05,602046.8125
15,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4160,4160,829241.8081,0.034159998,7.28416E-05,829241.6875
16,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4161,4161,829231.4353,0.031177185,3.06186E-05,348562.2813
17,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4162,4162,829221.0964,0.013617687,2.98297E-06,33956.83203
18,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4163,4163,829210.7914,0.025062974,3.15502E-05,359154.75
19,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4164,4164,829200.5204,0.02116241,2.00279E-05,227987.7188
20,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4259,4259,829203.057,0.006024492,1.04458E-06,11891.30469
21,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4260,4260,829192.6522,0.031709598,5.09091E-05,579523
22,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4261,4261,829182.2812,0.034160001,7.28416E-05,829182.375
23,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4262,4262,829171.9442,0.034575655,7.1714E-05,816338.5
24,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4263,4263,829161.6411,0.034078289,7.28205E-05,828921.5625
25,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4264,4264,829151.3719,0.036116658,6.90257E-05,785714.0625
26,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4265,4265,829141.1366,0.024212958,3.37859E-05,384575.3125
27,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4360,4360,829143.4793,0.014258867,4.88071E-06,55556.84766
28,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4361,4361,829133.1102,0.035170759,5.59583E-05,636956
29,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4362,4362,829122.775,0.028514014,1.53202E-05,174383.3438
30,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4363,4363,829112.4738,0.020695833,8.95014E-06,101872.7266
31,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4364,4364,829102.2065,0.022735881,1.31936E-05,150175.4844
32,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4365,4365,829091.973,0.019758546,2.10932E-05,240088.2031
33,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3657,3657,829518.6831,0.019436849,2.37247E-05,270171.7813
34,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3658,3658,829508.1991,0.016511108,1.08544E-05,123607.0703
35,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3751,3751,829533.2126,0.015479967,1.11244E-05,126684.2266
36,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3752,3752,829522.5267,0.027532038,4.44995E-05,506757.125
37,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3753,3753,829511.8747,0.027491907,4.33651E-05,493832.4688
38,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3754,3754,829501.2568,0.027215067,4.21402E-05,479878.6875
39,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3755,3755,829490.6727,0.025175022,1.52078E-05,173181.0313
40,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3756,3756,829480.1226,0.00589318,6.69558E-07,7624.375488
41,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3757,3757,829469.6065,0.031033211,4.66433E-05,531141.1875
42,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3758,3758,829459.1244,0.032479108,7.03423E-05,800999.875
43,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3759,3759,829448.6761,0.011828106,5.08914E-06,57950.40234
44,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3849,3849,829505.5773,0.015849865,5.89802E-06,67164.10938
45,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3850,3850,829494.8254,0.011720186,2.81772E-06,32086.84961
46,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3851,3851,829484.1075,0.031283719,4.17524E-05,475454.3438
47,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3852,3852,829473.4235,0.034160001,7.28416E-05,829473.5
48,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3853,3853,829462.7735,0.03416,7.28416E-05,829462.75
49,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3854,3854,829452.1574,0.034160001,7.28416E-05,829452.25
50,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3855,3855,829441.5753,0.034160001,7.28416E-05,829441.625
51,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3856,3856,829431.0271,0.033502204,6.98371E-05,795221.9375
52,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3857,3857,829420.5129,0.033698352,7.23974E-05,824363.5
53,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3858,3858,829410.0326,0.029184393,4.62215E-05,526307.25
54,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3948,3948,829467.2352,0.004017596,8.16989E-07,9302.981445
55,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3949,3949,829456.4513,0.048229426,3.90697E-05,444893.75
56,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3950,3950,829445.7014,0.034068077,7.15293E-05,814506.3125
57,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3951,3951,829434.9854,0.034781774,7.14066E-05,813096.4375
58,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3952,3952,829424.3033,0.03416,7.28416E-05,829424.3125
59,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3953,3953,829413.6553,0.034159998,7.28416E-05,829413.5625
60,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3954,3954,829403.0411,0.03416,7.28416E-05,829403
61,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3955,3955,829392.4609,0.03416,7.28416E-05,829392.4375
62,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3956,3956,829381.9146,0.034159998,7.28416E-05,829381.8125
63,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3957,3957,829371.4023,0.032635501,6.919E-05,787793.0625
64,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,3958,3958,829360.9239,0.013550557,7.30404E-06,83165.30469
65,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4048,4048,829418.0903,0.014485853,5.43868E-06,61928.30469
66,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4049,4049,829407.3083,0.039233862,6.13691E-05,698775.6875
67,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4050,4050,829396.5603,0.034160001,7.28416E-05,829396.625
68,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4051,4051,829385.8463,0.034160001,7.28416E-05,829385.9375
69,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4052,4052,829375.1662,0.034160001,7.28416E-05,829375.25
70,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4053,4053,829364.52,0.03416,7.28416E-05,829364.5
71,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4054,4054,829353.9078,0.034160001,7.28416E-05,829354
72,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4055,4055,829343.3295,0.034160001,7.28416E-05,829343.375
73,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4056,4056,829332.7851,0.034094424,7.28262E-05,829156.875
74,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4057,4057,829322.2747,0.026030825,3.35271E-05,381722.2188
75,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4149,4149,829358.1483,0.013847581,1.04334E-05,118793.5234
76,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4150,4150,829347.4023,0.028444007,3.77873E-05,430234.2188
77,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4151,4151,829336.6902,0.032699668,6.07266E-05,691401.125
78,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4152,4152,829326.012,0.03416,7.28416E-05,829326
79,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4153,4153,829315.3678,0.034159998,7.28416E-05,829315.25
80,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4154,4154,829304.7574,0.03416,7.28416E-05,829304.75
81,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4155,4155,829294.1811,0.03416,7.28416E-05,829294.1875
82,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4156,4156,829283.6386,0.030751249,4.45924E-05,507673.2188
83,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4251,4251,829287.5171,0.002267078,4.80044E-08,546.5300903
84,1,7640,13.162107,7640,417,LG204-T1,6,6,10,20,39,43,88,77,66,55,6,0,0,0,0,0,0,0,0,239,29902,1020,0,168,18,34013205.9,20991,132320.1287,0,0,0,34013200,0,0,0,0,0,0,0,209910,3502,1,33851600,4252,4252,829276.8408,0.03279287,4.88349E-05,555966.4375
